Rate|Date|Product_Name|User_Function|Company_Size|Industry|Title|Text
4.0|May 15, 2018|Talend Data Fabric|General Management|10B - 30B USD|Retail Industry|Strong toolset but too much focus on technology rather than business solution|Talend have a very strong Product Set and a well positioned roadmap supported by communities and open source approach. I do sometimes find that there is too much focus on the toolset and the technology rather than how it can be used to solve a real business problem. And to do this ...
3.0|Feb 5, 2018|Talend Data Fabric, Talend Platform for Big Data Integration (Legacy)|IT|10B - 30B USD|Telecommunication Industry|Talend fits the technical requirement of what we were looking for.|The sales process was good, lot of support as expected to help justify why they should be chosen. Getting support after purchase has been a little more difficult.
5.0|Mar 24, 2023|Talend Data Inventory|IT Services|250M - 500M USD|Banking Industry|Extensive experience in ETL methodology for performing for data profiling.|Talend is powerful tool and learning is little bit difficult but there are numbers of resources will get all the information online.
5.0|Apr 8, 2022|Talend Data Fabric|General Management|1B - 3B USD|Energy and Utilities Industry|Repeat customer for a reason|We have every data type and frequency you can imagine and a well managed data supply chain. We have not found a single thing Talend cannot handle. It is extensible through custom java if we need to do something truly out of the norm.
5.0|Apr 4, 2023|Talend Data Fabric|Data and Analytics|50M - 250M USD|IT Services Industry|Data goes easy !!!|Always a very flexible and satisfactory experience with Talend
4.0|Mar 6, 2023|Talend Big Data|Data and Analytics|10B - 30B USD|IT Services Industry|Best data platform in the market|We are happy with the Data Integration capabilities provided by Talend big data, it is very fast and reliable solution
4.0|Mar 24, 2023|Talend Big Data|Real Estate|250M - 500M USD|Construction Industry|One of BEST ETL tool in the market.|Its been great experience so far. Talend has helped us to implement MDM solution for our company.
4.0|Mar 24, 2023|Talend Data Fabric|Software Development|<50M USD|IT Services Industry|Impressed by functionality and easy entry point.|during development, we had some issues and we need support from the vendor. After contacting vendor support we are able to fix issues quickly
5.0|Mar 24, 2023|Talend Big Data|Engineering - Other|500M - 1B USD|Retail Industry|Good product|Talend studio is very friendly to design job. Easy to debug and maintain the code. my experience with this vendor is very good. I like this vendor.
5.0|Mar 6, 2023|Talend Data Fabric|IT|30B + USD|Manufacturing Industry|Great data integration tool|Great platform with a lot of functionalities to support our data mesh approach.
5.0|Mar 4, 2022|Talend Platform for Data Services (Legacy)|Data and Analytics|3B - 10B USD|Banking Industry|Talend BigData Integration User for last 5 Years - Happy with the Product|The product is very much useful and reliable in terms of generic flows as it is java enabled , very happy using this product with timely upgrades over the last 5 years.
5.0|Mar 23, 2023|Talend Data Fabric|Engineering - Other|<50M USD|IT Services Industry|Talend Data Fabric Review my experience|it was a good experience and i'm still learning about it everyday
4.0|Mar 29, 2023|Talend Data Fabric|Engineering - Other|50M - 250M USD|IT Services Industry|Always happy to learn new things in Talend|Have been working with Talend from 7 years now , had a great experience
4.0|Mar 23, 2023|Talend Data Fabric|IT Services|1B - 3B USD|Healthcare and Biotech Industry|Actively Using Talend for 4 Yrs.|Great Tool with the flexibility to scale up or down.
4.0|Apr 4, 2023|Talend Data Fabric|IT|250M - 500M USD|IT Services Industry|Talend - One of thebest ETL tools available|One of the Best ETL tool available in the market so far
5.0|Mar 4, 2022|Talend Platform for Data Services (Legacy)|Management / Business Consulting|10B - 30B USD|IT Services Industry|Talend's ease of use and efficient support|My overall experience with Talend Platform for data services is best as compared to it's other competitors. The best thing I like about talend is it's Ease of use and the support team.
3.0|Mar 24, 2023|Talend Data Fabric|Engineering - Other|500M - 1B USD|Insurance (except health) Industry|Talend is a good tool for Data Transformation|Since it is PaaS. There are a lot of installation processes and patches which tends to go south.
1.0|Sep 7, 2022|Talend Data Fabric|IT|3B - 10B USD|Manufacturing Industry|There are better tools in the market|I have not used all the functions of Talend but I have done Data warehouses, backend system with API endpoints and stream integrations in Talend. It is not good at doing any of them and let me explain why. Data warehousing consists of ETL and ELT processes most of the time you want to ...
5.0|Mar 4, 2022|Talend Data Fabric|Data and Analytics|500M - 1B USD|Travel and Hospitality Industry|Years of good experiences|I started my ETL development experience Talend and now I don't want to switch to any other tool.
3.0|Jan 29, 2022|Stitch|IT|50M - 250M USD|IT Services Industry|Stitch makes data movement easy between third-party tools and your Data Warehouse.|Good product. Stitch offers a large range of data source connectors, and setup is very easy.
5.0|Mar 15, 2022|Talend Data Fabric|Data and Analytics|30B + USD|Retail Industry|Best product service ever.|The development and testing process has fastened as the support that is needed is quick.
4.0|Apr 5, 2022|Talend Data Fabric|IT|Gov't/PS/ED 5,000 - 50,000 Employees|Education Industry|Great product - not an out of the box tool that will solve your business problem|The tool is great but requires a lot of learning curve
5.0|Mar 29, 2022|Talend Platform for Data Services (Legacy)|Data and Analytics|Gov't/PS/ED 5,000 - 50,000 Employees|Government Industry|Quickly becoming ETL tool of choice|Excellent product, easy deployment and integration
5.0|Jan 3, 2022|Talend Platform for Data Services (Legacy)|Data and Analytics|<50M USD|IT Services Industry|Talend Data Service Platform reviews|Talend Data Services Platform ease my task on doing data integration and data cleansing for a large volume of data.
3.0|Dec 17, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|30B + USD|Healthcare and Biotech Industry|Its a great ETL tool with unlimited possibilities but enhancements are needed|Overall i have good Experience with talend. Service response times should get better
5.0|Nov 10, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|250M - 500M USD|Energy and Utilities Industry|Solid technology, always improving, and highly recommend the entire product suite.|Talend continues to proactively innovate, enhance, and expand the product suite to maintain their market-leading position. As such, any features that may be part of some niche competitor are quickly available in the Talend powerhouse product line. ...
3.0|Nov 3, 2021|Talend Platform for Data Services (Legacy)|IT Security and Risk Management|10B - 30B USD|Banking Industry|Data Integration evaluation|I am a new talend developer so a few of these I do not know of yet. I took a training recently and it was really in depth. Within 7 hours into a training i was able to complete my own talend script that was transforming data. The community is also very good ...
